Umpire,Game_ID,Home/Away,Called Ball/Strike,Pitch_X,Pitch_Y,Pitcher_Hand,Batter_Hand,Pitch_Type,Pitch_Speed
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-158,-52,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Strike,11,-82,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,182,-34,R,L,CH,86.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,194,34,R,R,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-188,113,L,R,FA,90.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-164,34,L,R,CU,76.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,194,-117,L,R,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Strike,-11,-8,L,L,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,188,-17,L,L,CU,76.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-182,91,L,R,FA,92.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Strike,70,4,L,R,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-58,-113,R,R,SL,86.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Strike,-100,-4,R,R,SL,84.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,94,143,R,R,FA,94.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-76,-178,R,R,FA,97.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Strike,5,-117,R,L,CH,89.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,76,-113,R,L,CU,83.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-135,-121,R,R,FA,97.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-176,104,L,R,FA,90.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Strike,-29,-30,L,R,FA,89.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Strike,23,0,L,R,FA,89.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Strike,35,-30,L,R,CU,76.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Strike,-100,34,L,R,CU,77.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-188,100,L,R,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-35,95,L,L,FA,90.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,158,-126,L,L,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,170,-43,L,L,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,129,-39,R,R,SL,85.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,141,-52,R,R,SL,85.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Strike,88,8,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,152,69,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,188,108,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-123,69,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-94,-152,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,152,113,R,R,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Strike,-35,17,R,L,FA,96.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,88,-134,L,R,FA,92.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Strike,17,47,L,R,CU,76.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-41,165,L,R,FA,90.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,152,-143,L,R,CU,76.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-70,126,L,R,CU,75.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-158,4,L,R,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,-152,147,L,R,CU,76.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Strike,100,-8,L,L,FA,91.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Home,Ball,5,152,L,L,CU,75.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,35,-130,L,L,SI,94.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Strike,35,-91,L,L,SI,94.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,105,-182,L,L,SI,95.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-58,-147,L,R,SI,94.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Strike,5,-108,L,R,SI,94.0
Tom Hallion,0a408f5b-3ea6-4500-84d4-d01a56b3f3c2,Away,Ball,-129,21,L,R,SI,94.0
